Country,Demographics Question,Demographics Response,Question-cod,year,Value,SA
2,4,8,4,2017,7.2,0
2,4,15,4,2017,24.5,0
2,4,7,6,2017,1.3,0
2,4,8,6,2017,2.8,0
2,4,15,6,2017,4.6,0
2,5,11,2,2017,12.9,0
2,5,14,2,2017,10.2,0
2,5,11,3,2017,3.2,0
2,5,14,3,2017,4.7,0
2,5,11,5,2017,7.4,0
2,5,14,5,2017,5.9,0
2,5,11,4,2017,8.9,0
2,5,14,4,2017,7.4,0
2,5,11,6,2017,2.2,0
2,5,14,6,2017,2,0
3,2,6,1,2015,0.7,0
3,1,3,1,2015,3.7,0
3,4,7,1,2015,4.4,0
3,5,14,1,2015,4.9,0
3,2,12,1,2015,5,0
3,1,2,1,2015,5.3,0
3,3,4,1,2015,5.5,0
3,3,13,1,2015,6.1,0
3,4,8,1,2015,7.3,0
3,1,1,1,2015,7.7,0
3,3,5,1,2015,7.9,0
3,2,10,1,2015,8.1,0
3,5,11,1,2015,8.9,0
3,4,15,1,2015,9.3,0
3,2,9,1,2015,10.8,0
3,1,1,2,2015,23.4,0
3,1,2,2,2015,18.5,0
3,1,3,2,2015,15.7,0
3,1,1,3,2015,12.6,0
3,1,2,3,2015,10.6,0
3,1,3,3,2015,7.7,0
3,1,1,5,2015,8.9,0
3,1,2,5,2015,8.1,0
3,1,3,5,2015,7,0
3,1,1,4,2015,13.5,0
3,1,2,4,2015,10.7,0
3,1,3,4,2015,9.3,0
3,1,1,6,2015,6.3,0
3,1,2,6,2015,5.5,0
3,1,3,6,2015,4.4,0
3,2,6,2,2015,3.9,0
3,2,9,2,2015,26.7,0
3,2,10,2,2015,26.2,0
3,2,12,2,2015,18.1,0
3,2,6,3,2015,1.6,0
3,2,9,3,2015,15.9,0
3,2,10,3,2015,14.9,0
3,2,12,3,2015,9.2,0
3,2,6,5,2015,1.6,0
3,2,9,5,2015,13.4,0
3,2,10,5,2015,11.2,0
3,2,12,5,2015,6.8,0
3,2,6,4,2015,1.8,0
3,2,9,4,2015,18.3,0
3,2,10,4,2015,17.1,0
3,2,12,4,2015,9.1,0
3,2,6,6,2015,0.6,0
3,2,9,6,2015,11.2,0
3,2,10,6,2015,7.6,0
3,2,12,6,2015,4.4,0
3,3,4,2,2015,19.7,0
3,3,5,2,2015,23.6,0
3,3,13,2,2015,19,0
3,3,4,3,2015,10.9,0
3,3,5,3,2015,13.3,0
3,3,13,3,2015,9.5,0
3,3,4,5,2015,8.2,0
3,3,5,5,2015,9.2,0
3,3,13,5,2015,7.7,0
3,3,4,4,2015,11.3,0
3,3,5,4,2015,13.8,0
3,3,13,4,2015,11.1,0
3,3,4,6,2015,5.2,0
3,3,5,6,2015,7.3,0
3,3,13,6,2015,5.4,0
3,4,7,2,2015,19.1,0
3,4,8,2,2015,20.6,0
3,4,15,2,2015,25.1,0
3,4,7,3,2015,10.5,0
3,4,8,3,2015,10.6,0
3,4,15,3,2015,17.4,0
3,4,7,5,2015,8.1,0
3,4,8,5,2015,8,0
3,4,15,5,2015,12.8,0
3,4,7,4,2015,11.7,0
3,4,8,4,2015,11.2,0
3,4,15,4,2015,16.7,0
3,4,7,6,2015,5.1,0
3,4,8,6,2015,5.8,0
3,4,15,6,2015,9.8,0
3,5,11,2,2015,26.7,0
3,5,14,2,2015,17.5,0
3,5,11,3,2015,15.7,0
3,5,14,3,2015,8.9,0
3,5,11,5,2015,11.2,0
3,5,14,5,2015,7.1,0
3,5,11,4,2015,18,0
3,5,14,4,2015,9.2,0
3,5,11,6,2015,9.3,0
3,5,14,6,2015,4.1,0
4,2,9,1,2015,0,0
4,4,15,1,2015,0,0
4,4,7,1,2015,0.4,0
4,2,6,1,2015,0.6,0
4,2,12,1,2015,0.6,0
4,3,4,1,2015,0.6,0
4,1,1,1,2015,0.7,0
4,1,2,1,2015,0.7,0
4,1,3,1,2015,0.7,0
4,3,13,1,2015,0.7,0
4,5,11,1,2015,0.7,0
4,5,14,1,2015,0.7,0
4,2,10,1,2015,1,0
4,3,5,1,2015,1,0
4,4,8,1,2015,1,0
4,1,1,2,2015,24.3,0
4,1,2,2,2015,23,0
4,1,3,2,2015,20.9,0
4,1,1,3,2015,15.6,0
4,1,2,3,2015,16.8,0
4,1,3,3,2015,15.9,0
4,1,1,5,2015,13.8,0
4,1,2,5,2015,10.5,0
4,1,3,5,2015,11.1,0
4,1,1,4,2015,18.9,0
4,1,2,4,2015,16.6,0
4,1,3,4,2015,16.4,0
4,1,1,6,2015,1,0
4,1,2,6,2015,1.4,0
4,1,3,6,2015,2.3,0
4,2,6,2,2015,14.4,0
4,2,9,2,2015,0,0
4,2,10,2,2015,30.3,0
4,2,12,2,2015,27.9,0
4,2,6,3,2015,9.9,0
4,2,9,3,2015,0,0
4,2,10,3,2015,22,0
4,2,12,3,2015,20.2,0
4,2,6,5,2015,6.1,0
4,2,9,5,2015,0,0
4,2,10,5,2015,13.6,0
4,2,12,5,2015,16.3,0
4,2,6,4,2015,10.9,0
4,2,9,4,2015,0,0
4,2,10,4,2015,17.8,0
4,2,12,4,2015,22.8,0
4,2,6,6,2015,0.8,0
4,2,9,6,2015,0,0
4,2,10,6,2015,2.4,0
4,2,12,6,2015,2.2,0
4,3,4,2,2015,22.2,0
4,3,5,2,2015,47,0
4,3,13,2,2015,20.7,0
4,3,4,3,2015,17,0
4,3,5,3,2015,31.7,0
4,3,13,3,2015,12.2,0
4,3,4,5,2015,12.3,0
4,3,5,5,2015,26.3,0
4,3,13,5,2015,8.7,0
4,3,4,4,2015,17,0
4,3,5,4,2015,31.5,0
4,3,13,4,2015,16,0
4,3,4,6,2015,1.5,0
4,3,5,6,2015,6,0
4,3,13,6,2015,1.5,0
4,4,7,2,2015,21.3,0
4,4,8,2,2015,23.2,0
4,4,15,2,2015,42.3,0
4,4,7,3,2015,15.8,0
4,4,8,3,2015,16,0
4,4,15,3,2015,27.5,0
4,4,7,5,2015,10.3,0
4,4,8,5,2015,12.9,0
4,4,15,5,2015,22.5,0
4,4,7,4,2015,16.5,0
4,4,8,4,2015,17.2,0
4,4,15,4,2015,33.7,0
4,4,7,6,2015,1.5,0
4,4,8,6,2015,1.4,0
4,4,15,6,2015,9.1,0
4,5,11,2,2015,32.3,0
4,5,14,2,2015,15.1,0
4,5,11,3,2015,24.7,0
4,5,14,3,2015,9.5,0
4,5,11,5,2015,17.7,0
4,5,14,5,2015,7.1,0
4,5,11,4,2015,23.9,0
4,5,14,4,2015,12,0
4,5,11,6,2015,2.2,0
4,5,14,6,2015,1.2,0
5,2,9,1,2006,0,0
5,2,10,1,2006,0,0
5,5,14,1,2006,3.3,0
5,2,6,1,2006,3.5,0
5,3,5,1,2006,3.7,0
5,4,15,1,2006,3.8,0
5,1,2,1,2006,5.5,0
5,4,7,1,2006,5.6,0
5,1,3,1,2006,6,0
5,3,4,1,2006,6.6,0
5,2,12,1,2006,7.8,0
5,3,13,1,2006,8.6,0
5,4,8,1,2006,9.3,0
5,1,1,1,2006,9.4,0
5,5,11,1,2006,11.8,0
5,1,1,2,2006,63.5,0
5,1,2,2,2006,58.9,0
5,1,3,2,2006,53.9,0
5,1,1,3,2006,55.8,0
5,1,2,3,2006,53.1,0
5,1,3,3,2006,47.6,0
5,1,1,5,2006,45.7,0
5,1,2,5,2006,42.3,0
5,1,3,5,2006,34.2,0
5,1,1,4,2006,39.4,0
5,1,2,4,2006,35.4,0
5,1,3,4,2006,30.3,0
5,1,1,6,2006,15.2,0
5,1,2,6,2006,10.3,0
5,1,3,6,2006,9.7,0
5,2,6,2,2006,52.5,0
5,2,9,2,2006,0,0
5,2,10,2,2006,0,0
5,2,12,2,2006,59.9,0
5,2,6,3,2006,47.5,0
5,2,9,3,2006,0,0
5,2,10,3,2006,0,0
5,2,12,3,2006,52.8,0
5,2,6,5,2006,31.1,0
5,2,9,5,2006,0,0
5,2,10,5,2006,0,0
5,2,12,5,2006,42.2,0
5,2,6,4,2006,17,0
5,2,9,4,2006,0,0
5,2,10,4,2006,0,0
5,2,12,4,2006,38.8,0
5,2,6,6,2006,5.2,0
5,2,9,6,2006,0,0
5,2,10,6,2006,0,0
5,2,12,6,2006,13.2,0
5,3,4,2,2006,59.4,0
5,3,5,2,2006,45.3,0
5,3,13,2,2006,58.5,0
5,3,4,3,2006,53.4,0
5,3,5,3,2006,42.5,0
5,3,13,3,2006,49.5,0
5,3,4,5,2006,41.3,0
5,3,5,5,2006,29.5,0
5,3,13,5,2006,39.2,0
5,3,4,4,2006,35.2,0
5,3,5,4,2006,32,0
5,3,13,4,2006,33.7,0
5,3,4,6,2006,11.7,0
5,3,5,6,2006,4.6,0
5,3,13,6,2006,12.8,0
5,4,7,2,2006,54.8,0
5,4,8,2,2006,63.9,0
5,4,15,2,2006,62.5,0
5,4,7,3,2006,48.7,0
5,4,8,3,2006,56.2,0
5,4,15,3,2006,59.2,0
5,4,7,5,2006,36.8,0
5,4,8,5,2006,45.5,0
5,4,15,5,2006,32.6,0
5,4,7,4,2006,31.7,0
5,4,8,4,2006,39.3,0
5,4,15,4,2006,34,0
5,4,7,6,2006,10.1,0
5,4,8,6,2006,14.1,0
5,4,15,6,2006,10.9,0
5,5,11,2,2006,62.2,0
5,5,14,2,2006,55.4,0
5,5,11,3,2006,52.5,0
5,5,14,3,2006,51.1,0
5,5,11,5,2006,43.9,0
5,5,14,5,2006,37.1,0
5,5,11,4,2006,45.4,0
5,5,14,4,2006,26.4,0
5,5,11,6,2006,17.2,0
5,5,14,6,2006,7.4,0
6,1,1,1,2014,0,0
6,1,2,1,2014,0,0
6,1,3,1,2014,0,0
6,2,6,1,2014,0,0
6,2,9,1,2014,0,0
6,2,10,1,2014,0,0
6,2,12,1,2014,0,0
6,3,4,1,2014,0,0
6,3,5,1,2014,0,0
6,3,13,1,2014,0,0
6,4,7,1,2014,0,0
6,4,8,1,2014,0,0
6,4,15,1,2014,0,0
6,5,11,1,2014,0,0
6,5,14,1,2014,0,0
6,1,1,2,2014,0,0
6,1,2,2,2014,0,0
6,1,3,2,2014,0,0
6,1,1,3,2014,0,0
6,1,2,3,2014,0,0
6,1,3,3,2014,0,0
6,1,1,5,2014,0,0
6,1,2,5,2014,0,0
